source_case_id,source_title,cited_case_id,cited_title,section_rank,combined_rank,component_rank,pool_size
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,20,29,27,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,82,Criticism of Engineering in Products,60,49,51,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,83,Sustainable Development—Threatened Species,84,71,72,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,84,Duty To Report Safety Violations,72,58,61,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,85,"Incomplete Plans and Specifications – Engineer, Government, and Contractor Responsibilities",92,82,89,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,86,Public Welfare—Client Action Following Engineers Services,25,33,33,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,87,Public Health and Safety—Building Codes to Address Environmental Risk,5,6,7,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,88,"Public Health, Safety, and  Welfare–Climate Change Induced Conditions",9,4,4,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,89,"Engineer's Recommendation For Full-Time, On-Site Project Representative",33,30,32,118
9,Acknowledging Errors in Design,100,Duty To Report Unrelated Information Observed During Rendering Of Services,8,6,11,118
9,Acknowledging Errors in Design,88,"Public Health, Safety, and  Welfare–Climate Change Induced Conditions",30,29,29,118
9,Acknowledging Errors in Design,74,Professional Competence In Current Structural Design,2,1,1,118
10,Post-Public Employment - City Engineer Transitioning to Consultant,102,Case Number 58-1,10,5,6,118
10,Post-Public Employment - City Engineer Transitioning to Consultant,103,Conflict of Interest - Part-Time Service as City Engineer,25,44,42,118
10,Post-Public Employment - City Engineer Transitioning to Consultant,104,Conflict of Interest - Municipal Engineer,26,14,13,118
10,Post-Public Employment - City Engineer Transitioning to Consultant,105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,1,1,1,118
10,Post-Public Employment - City Engineer Transitioning to Consultant,75,Obligation to Former Employer and  Former Client Following Acceptance of Position with State,15,6,5,118
10,Post-Public Employment - City Engineer Transitioning to Consultant,106,Confidentiality of Competitor Information Submitted to Government Agency,2,2,2,118
11,Excess Stormwater Runoff,75,Obligation to Former Employer and  Former Client Following Acceptance of Position with State,25,21,19,118
11,Excess Stormwater Runoff,107,Expert Witness—Discovery of New Data Following Submission of Report,52,87,81,118
11,Excess Stormwater Runoff,71,Failure To Include Information In Engineering Report,55,57,61,118
11,Excess Stormwater Runoff,108,Use Of Broad Indemnification Clause For Pollution Services,98,109,109,118
12,Competence in Design Services,74,Professional Competence In Current Structural Design,11,17,14,118
12,Competence in Design Services,109,Competence To Certify Arms Storage Rooms,3,6,5,118
12,Competence in Design Services,110,Competence To Perform Foundation Design,6,2,3,118
13,Sustainability -  Lawn Irrigation Design,94,Failure to Disclose Full Impact of Development,4,6,6,118
13,Sustainability -  Lawn Irrigation Design,83,Sustainable Development—Threatened Species,33,47,51,118
13,Sustainability -  Lawn Irrigation Design,123,Engineer’s Obligation to Consider Feasible Options,8,5,4,118
14,"Providing Incomplete, Self-Serving Advice",71,Failure To Include Information In Engineering Report,1,1,1,118
14,"Providing Incomplete, Self-Serving Advice",85,"Incomplete Plans and Specifications – Engineer, Government, and Contractor Responsibilities",5,5,6,118
15,Independence of  Peer Reviewer,96,Conflict of Interest—Peer Reviewer Participating on Subsequent Joint Venture,2,3,3,118
15,Independence of  Peer Reviewer,181,Peer Review - Confidentiality Agreements,10,18,22,118
15,Independence of  Peer Reviewer,126,Appropriate Notification And Review Of Another Engineer's Work,63,46,53,118
16,Impaired Engineering,111,Misrepresentation - Changes Made to Engineer’s Report,2,3,3,118
16,Impaired Engineering,112,Public Health Safety and Welfare—Engineering Standards,84,80,78,118
17,Siting a Truck Stop,113,Public Criticism - Environmental Concerns,2,5,5,118
17,Siting a Truck Stop,114,Conflicting Engineering Opinions,67,53,62,118
17,Siting a Truck Stop,76,"Public Health, Safety, and Welfare—Drinking Water Quality",3,2,3,118
17,Siting a Truck Stop,71,Failure To Include Information In Engineering Report,79,68,73,118
18,Professional Responsibility if  Appropriate Authority Fails to Act,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,11,10,10,118
18,Professional Responsibility if  Appropriate Authority Fails to Act,84,Duty To Report Safety Violations,44,34,33,118
18,Professional Responsibility if  Appropriate Authority Fails to Act,76,"Public Health, Safety, and Welfare—Drinking Water Quality",1,1,1,118
19,Duty to Report Misconduct,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,31,22,24,118
19,Duty to Report Misconduct,116,Duty To Report Violation—Anonymous Complaint,6,13,16,118
20,Review of Other  Engineer’s Work,126,Appropriate Notification And Review Of Another Engineer's Work,1,1,1,118
20,Review of Other  Engineer’s Work,127,Employment—Questioning Ability Of Former Employer,13,16,13,118
22,Sharing As-Built Drawings,97,Confidentiality of Engineering Report,20,18,24,118
22,Sharing As-Built Drawings,98,Confidentiality – Discussion with Potential Bidding Contractor,1,3,4,118
22,Sharing As-Built Drawings,99,Professional Selection—Receipt of Submission Beyond the Published Deadline,16,12,13,118
56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,131,Advertising - Misstating Credentials,5,13,11,118
56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,77,Engineering Titles - Use Of Engineering Title By Nonengineers,6,3,3,118
57,Duty to Report –  Material Information,132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,4,9,8,118
57,Duty to Report –  Material Information,133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,32,23,24,118
57,Duty to Report –  Material Information,78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",2,1,1,118
57,Duty to Report –  Material Information,79,Public Health And Safety - Code Enforcement,5,8,5,118
58,Public Welfare at What Cost?,79,Public Health And Safety - Code Enforcement,1,3,3,118
58,Public Welfare at What Cost?,134,Statements Made During Negotiations,11,10,10,118
58,Public Welfare at What Cost?,135,Engineer Misstating Professional Achievements on Resume,57,24,19,118
59,"Protecting Public Health,  Safety, and Welfare",72,Public Welfare - Knowledge of Information Damaging to Client's Interest,14,14,17,118
59,"Protecting Public Health,  Safety, and Welfare",136,Failure To Report Information Affecting Public Safety,33,24,28,118
59,"Protecting Public Health,  Safety, and Welfare",78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",29,25,32,118
60,Misrepresentation of  Qualifications,77,Engineering Titles - Use Of Engineering Title By Nonengineers,6,3,4,118
60,Misrepresentation of  Qualifications,128,Advertising — Use of Business Cards—P.E. Designation,1,1,1,118
60,Misrepresentation of  Qualifications,129,Expert Witness—Chair of Standards and Safety Committee,24,24,26,118
60,Misrepresentation of  Qualifications,130,Job Qualifications—Disclosure of Material Fact,7,9,8,118
72,Public Welfare - Knowledge of Information Damaging to Client's Interest,82,Criticism of Engineering in Products,27,30,31,118
73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",79,Public Health And Safety - Code Enforcement,8,22,20,118
73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",76,"Public Health, Safety, and Welfare—Drinking Water Quality",26,23,26,118
73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",165,"Public Health, Safety, and Welfare—Driverless/Autonomous Vehicle",76,74,73,118
74,Professional Competence In Current Structural Design,109,Competence To Certify Arms Storage Rooms,1,9,6,118
74,Professional Competence In Current Structural Design,110,Competence To Perform Foundation Design,8,4,8,118
74,Professional Competence In Current Structural Design,158,P.E. Requirement for County Surveyor Position,29,32,31,118
75,Obligation to Former Employer and  Former Client Following Acceptance of Position with State,179,Expert Witness Testimony - Serving Plaintiffs And Defendants,1,1,1,118
76,"Public Health, Safety, and Welfare—Drinking Water Quality",137,Public Welfare—Bridge Structure,8,8,9,118
76,"Public Health, Safety, and Welfare—Drinking Water Quality",132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,19,23,25,118
76,"Public Health, Safety, and Welfare—Drinking Water Quality",84,Duty To Report Safety Violations,61,40,45,118
78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",137,Public Welfare—Bridge Structure,70,29,38,118
78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",84,Duty To Report Safety Violations,12,6,5,118
78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",136,Failure To Report Information Affecting Public Safety,6,3,4,118
78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",149,Public Welfare - Hazardous Waste,16,9,10,118
78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,5,8,9,118
79,Public Health And Safety - Code Enforcement,175,Public Welfare - Duty Of Government Engineer,15,13,14,118
79,Public Health And Safety - Code Enforcement,160,Participation in Production of Unsafe Equipment,14,16,18,118
79,Public Health And Safety - Code Enforcement,157,Whistleblowing,58,43,55,118
79,Public Health And Safety - Code Enforcement,92,Whistleblowing - City Engineer,2,5,4,118
83,Sustainable Development—Threatened Species,84,Duty To Report Safety Violations,4,2,3,118
83,Sustainable Development—Threatened Species,100,Duty To Report Unrelated Information Observed During Rendering Of Services,50,38,44,118
83,Sustainable Development—Threatened Species,86,Public Welfare—Client Action Following Engineers Services,3,3,2,118
84,Duty To Report Safety Violations,97,Confidentiality of Engineering Report,7,11,11,118
84,Duty To Report Safety Violations,172,Objectivity of Engineer Retained as Expert,16,26,26,118
84,Duty To Report Safety Violations,89,"Engineer's Recommendation For Full-Time, On-Site Project Representative",3,3,2,118
85,"Incomplete Plans and Specifications – Engineer, Government, and Contractor Responsibilities",157,Whistleblowing,57,64,67,118
86,Public Welfare—Client Action Following Engineers Services,84,Duty To Report Safety Violations,11,7,5,118
86,Public Welfare—Client Action Following Engineers Services,100,Duty To Report Unrelated Information Observed During Rendering Of Services,9,10,11,118
87,Public Health and Safety—Building Codes to Address Environmental Risk,86,Public Welfare—Client Action Following Engineers Services,38,55,57,118
87,Public Health and Safety—Building Codes to Address Environmental Risk,83,Sustainable Development—Threatened Species,64,35,36,118
88,"Public Health, Safety, and  Welfare–Climate Change Induced Conditions",87,Public Health and Safety—Building Codes to Address Environmental Risk,1,1,1,118
91,Gifts To Foreign Officials - Application Of Code Of Ethics To Non-U.S. Engineers,167,Gifts to Foreign Officials,30,1,1,118
92,Whistleblowing - City Engineer,160,Participation in Production of Unsafe Equipment,19,19,23,118
92,Whistleblowing - City Engineer,157,Whistleblowing,26,27,29,118
93,Withholding Information Useful to Client/Public Agency,181,Peer Review - Confidentiality Agreements,46,49,51,118
94,Failure to Disclose Full Impact of Development,124,Public Criticism of Proposed Public Highway Route,3,2,2,118
94,Failure to Disclose Full Impact of Development,114,Conflicting Engineering Opinions,1,1,1,118
94,Failure to Disclose Full Impact of Development,113,Public Criticism - Environmental Concerns,26,14,13,118
96,Conflict of Interest—Peer Reviewer Participating on Subsequent Joint Venture,181,Peer Review - Confidentiality Agreements,6,27,25,118
96,Conflict of Interest—Peer Reviewer Participating on Subsequent Joint Venture,177,Conflict Of Interest Providing Both City Engineer And Inspection Services,80,61,64,118
98,Confidentiality – Discussion with Potential Bidding Contractor,176,Engineer's Duty As Interpreter Of Contract Documents,66,35,41,118
99,Professional Selection—Receipt of Submission Beyond the Published Deadline,141,Selection of Firm—FOIA Request,43,32,26,118
100,Duty To Report Unrelated Information Observed During Rendering Of Services,84,Duty To Report Safety Violations,47,26,31,118
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,103,Conflict of Interest - Part-Time Service as City Engineer,35,33,108,118
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,104,Conflict of Interest - Municipal Engineer,59,11,12,118
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,164,Conflict Of Interest—Consultant Serving As City Engineer,3,4,3,118
106,Confidentiality of Competitor Information Submitted to Government Agency,104,Conflict of Interest - Municipal Engineer,18,10,9,118
106,Confidentiality of Competitor Information Submitted to Government Agency,170,Conflict of Interest - Expert Witness for Contractor,62,36,34,118
106,Confidentiality of Competitor Information Submitted to Government Agency,172,Objectivity of Engineer Retained as Expert,22,16,20,118
107,Expert Witness—Discovery of New Data Following Submission of Report,71,Failure To Include Information In Engineering Report,2,2,2,118
108,Use Of Broad Indemnification Clause For Pollution Services,173,Modification of Signed and Sealed Plans by Other Than Responsible Engineer,31,12,16,118
109,Competence To Certify Arms Storage Rooms,110,Competence To Perform Foundation Design,2,1,1,118
109,Competence To Certify Arms Storage Rooms,158,P.E. Requirement for County Surveyor Position,6,3,3,118
110,Competence To Perform Foundation Design,161,Brokerage of Engineering Services,7,6,6,118
110,Competence To Perform Foundation Design,162,Post lnterview Change in Joint Venture Team,81,86,87,118
110,Competence To Perform Foundation Design,158,P.E. Requirement for County Surveyor Position,1,4,4,118
111,Misrepresentation - Changes Made to Engineer’s Report,163,Signing and Sealing Plans Not Prepared by Engineer,6,10,9,118
112,Public Health Safety and Welfare—Engineering Standards,137,Public Welfare—Bridge Structure,12,4,5,118
112,Public Health Safety and Welfare—Engineering Standards,133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,21,27,28,118
112,Public Health Safety and Welfare—Engineering Standards,139,Public Health and Safety—Observing Off-Site Safety Issues,6,6,4,118
112,Public Health Safety and Welfare—Engineering Standards,140,Public Health and Safety—Scaffolding for Highway Ramp,1,2,2,118
113,Public Criticism - Environmental Concerns,114,Conflicting Engineering Opinions,37,39,39,118
113,Public Criticism - Environmental Concerns,124,Public Criticism of Proposed Public Highway Route,23,24,25,118
116,Duty To Report Violation—Anonymous Complaint,84,Duty To Report Safety Violations,31,24,24,118
120,Use Of Cadd System,163,Signing and Sealing Plans Not Prepared by Engineer,2,1,1,118
121,Use Of CD-ROM For Highway Design,110,Competence To Perform Foundation Design,2,1,1,118
121,Use Of CD-ROM For Highway Design,161,Brokerage of Engineering Services,6,3,3,118
121,Use Of CD-ROM For Highway Design,162,Post lnterview Change in Joint Venture Team,68,67,72,118
123,Engineer’s Obligation to Consider Feasible Options,113,Public Criticism - Environmental Concerns,7,7,11,118
123,Engineer’s Obligation to Consider Feasible Options,94,Failure to Disclose Full Impact of Development,4,3,3,118
126,Appropriate Notification And Review Of Another Engineer's Work,169,Review of Original Engineer's Design,56,52,62,118
127,Employment—Questioning Ability Of Former Employer,168,Supplanting - Promotion of Work by Former Employees,3,1,1,118
127,Employment—Questioning Ability Of Former Employer,178,Former Employer Establishing A New Firm - Soliciting Former Clients After A Period Of Time Has Elapsed,2,3,4,118
129,Expert Witness—Chair of Standards and Safety Committee,143,Conflict of Interest Public Employment,64,72,72,118
129,Expert Witness—Chair of Standards and Safety Committee,144,Conflict Of Interest—Public Employee Serving As Part-Time Consultant,57,73,73,118
129,Expert Witness—Chair of Standards and Safety Committee,145,Expert Witness—Disclosure of Interests Represented,35,64,65,118
130,Job Qualifications—Disclosure of Material Fact,146,Disclosure of Personal Information,2,3,3,118
130,Job Qualifications—Disclosure of Material Fact,147,Duty To Disclose Disciplinary Complaint To Client,1,2,2,118
130,Job Qualifications—Disclosure of Material Fact,148,Employment—Duty To Disclose Revocation Of Contractor License,3,1,1,118
131,Advertising - Misstating Credentials,171,Conflict Of Interest - Duty of Loyalty of Terminated Employed Engineer to Employer - Misleading Brochure,26,25,23,118
131,Advertising - Misstating Credentials,174,Misrepresentation Of Firm's Staff,46,29,34,118
132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,137,Public Welfare—Bridge Structure,49,20,26,118
132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,84,Duty To Report Safety Violations,14,7,8,118
132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,136,Failure To Report Information Affecting Public Safety,5,5,5,118
132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,149,Public Welfare - Hazardous Waste,16,9,10,118
132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,1,1,1,118
133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,137,Public Welfare—Bridge Structure,25,8,12,118
133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,84,Duty To Report Safety Violations,47,31,30,118
133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,136,Failure To Report Information Affecting Public Safety,11,13,13,118
133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,149,Public Welfare - Hazardous Waste,31,24,23,118
134,Statements Made During Negotiations,166,Statements in Employee Resume,107,74,74,118
134,Statements Made During Negotiations,135,Engineer Misstating Professional Achievements on Resume,6,2,1,118
135,Engineer Misstating Professional Achievements on Resume,166,Statements in Employee Resume,53,43,51,118
136,Failure To Report Information Affecting Public Safety,89,"Engineer's Recommendation For Full-Time, On-Site Project Representative",1,1,1,118
136,Failure To Report Information Affecting Public Safety,97,Confidentiality of Engineering Report,17,14,12,118
137,Public Welfare—Bridge Structure,149,Public Welfare - Hazardous Waste,30,30,28,118
137,Public Welfare—Bridge Structure,84,Duty To Report Safety Violations,26,19,20,118
137,Public Welfare—Bridge Structure,136,Failure To Report Information Affecting Public Safety,35,25,27,118
139,Public Health and Safety—Observing Off-Site Safety Issues,160,Participation in Production of Unsafe Equipment,4,4,5,118
139,Public Health and Safety—Observing Off-Site Safety Issues,157,Whistleblowing,6,7,8,118
139,Public Health and Safety—Observing Off-Site Safety Issues,92,Whistleblowing - City Engineer,5,10,11,118
140,Public Health and Safety—Scaffolding for Highway Ramp,137,Public Welfare—Bridge Structure,9,3,4,118
140,Public Health and Safety—Scaffolding for Highway Ramp,84,Duty To Report Safety Violations,68,43,45,118
140,Public Health and Safety—Scaffolding for Highway Ramp,136,Failure To Report Information Affecting Public Safety,38,33,35,118
140,Public Health and Safety—Scaffolding for Highway Ramp,149,Public Welfare - Hazardous Waste,57,39,42,118
140,Public Health and Safety—Scaffolding for Highway Ramp,133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,3,11,12,118
141,Selection of Firm—FOIA Request,126,Appropriate Notification And Review Of Another Engineer's Work,10,7,7,118
142,"Public Health, Safety and Welfare-Former Employee's Participation in a Public Safety Standards Hearing",72,Public Welfare - Knowledge of Information Damaging to Client's Interest,23,22,21,118
142,"Public Health, Safety and Welfare-Former Employee's Participation in a Public Safety Standards Hearing",150,Public Welfare—Design of Medical Equipment,32,60,61,118
143,Conflict of Interest Public Employment,103,Conflict of Interest - Part-Time Service as City Engineer,50,58,60,118
145,Expert Witness—Disclosure of Interests Represented,143,Conflict of Interest Public Employment,2,2,2,118
145,Expert Witness—Disclosure of Interests Represented,144,Conflict Of Interest—Public Employee Serving As Part-Time Consultant,1,1,1,118
146,Disclosure of Personal Information,147,Duty To Disclose Disciplinary Complaint To Client,3,1,1,118
146,Disclosure of Personal Information,151,Personal Misconduct,110,75,76,118
146,Disclosure of Personal Information,148,Employment—Duty To Disclose Revocation Of Contractor License,7,12,13,118
147,Duty To Disclose Disciplinary Complaint To Client,171,Conflict Of Interest - Duty of Loyalty of Terminated Employed Engineer to Employer - Misleading Brochure,91,68,76,118
147,Duty To Disclose Disciplinary Complaint To Client,174,Misrepresentation Of Firm's Staff,6,1,1,118
148,Employment—Duty To Disclose Revocation Of Contractor License,147,Duty To Disclose Disciplinary Complaint To Client,54,33,38,118
148,Employment—Duty To Disclose Revocation Of Contractor License,151,Personal Misconduct,42,19,21,118
149,Public Welfare - Hazardous Waste,84,Duty To Report Safety Violations,3,4,4,118
149,Public Welfare - Hazardous Waste,136,Failure To Report Information Affecting Public Safety,1,1,1,118
150,Public Welfare—Design of Medical Equipment,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,74,69,72,118
157,Whistleblowing,160,Participation in Production of Unsafe Equipment,1,2,3,118
158,P.E. Requirement for County Surveyor Position,161,Brokerage of Engineering Services,5,6,5,118
158,P.E. Requirement for County Surveyor Position,162,Post lnterview Change in Joint Venture Team,56,68,71,118
162,Post lnterview Change in Joint Venture Team,161,Brokerage of Engineering Services,16,18,22,118
163,Signing and Sealing Plans Not Prepared by Engineer,158,P.E. Requirement for County Surveyor Position,8,10,9,118
164,Conflict Of Interest—Consultant Serving As City Engineer,103,Conflict of Interest - Part-Time Service as City Engineer,2,2,2,118
164,Conflict Of Interest—Consultant Serving As City Engineer,104,Conflict of Interest - Municipal Engineer,11,1,1,118
171,Conflict Of Interest - Duty of Loyalty of Terminated Employed Engineer to Employer - Misleading Brochure,168,Supplanting - Promotion of Work by Former Employees,3,2,3,118
172,Objectivity of Engineer Retained as Expert,104,Conflict of Interest - Municipal Engineer,110,94,92,118
172,Objectivity of Engineer Retained as Expert,97,Confidentiality of Engineering Report,11,6,6,118
172,Objectivity of Engineer Retained as Expert,170,Conflict of Interest - Expert Witness for Contractor,1,1,1,118
173,Modification of Signed and Sealed Plans by Other Than Responsible Engineer,169,Review of Original Engineer's Design,52,58,66,118
174,Misrepresentation Of Firm's Staff,171,Conflict Of Interest - Duty of Loyalty of Terminated Employed Engineer to Employer - Misleading Brochure,66,57,65,118
175,Public Welfare - Duty Of Government Engineer,160,Participation in Production of Unsafe Equipment,1,1,1,118
175,Public Welfare - Duty Of Government Engineer,157,Whistleblowing,2,2,2,118
175,Public Welfare - Duty Of Government Engineer,92,Whistleblowing - City Engineer,25,25,29,118
177,Conflict Of Interest Providing Both City Engineer And Inspection Services,104,Conflict of Interest - Municipal Engineer,25,8,9,118
178,Former Employer Establishing A New Firm - Soliciting Former Clients After A Period Of Time Has Elapsed,168,Supplanting - Promotion of Work by Former Employees,20,4,4,118
179,Expert Witness Testimony - Serving Plaintiffs And Defendants,170,Conflict of Interest - Expert Witness for Contractor,48,44,37,118
181,Peer Review - Confidentiality Agreements,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,45,34,32,118
